Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
1581,Flash 4 magic,"Embertan, D.J. & Hamlim, J.S.",Computer Science,N/A,N/A
15810,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15811,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15812,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15813,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15814,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15815,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15816,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15817,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15818,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15819,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
1582,UML Tool kit,"Ericsson, H & Penker, M",Computer Science,N/A,N/A
15820,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15821,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15822,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15823,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15824,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15825,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15826,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15827,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15828,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
15829,Machine Design Data Handbook,"Lingaiah, K. Dr",Mechanical,N/A,N/A
1583,Enterprise computing with objects: from client / s,"Shan, Y  & Earle, R.H.",Computer Science,N/A,N/A
15830,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15831,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15832,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15833,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15834,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15835,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15836,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15837,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15838,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
15839,Principles of Fluid Mechanics and Fluid Machines,"Pillai,Narayana.N",Mechanical,N/A,N/A
1584,Real time UML,"Douglas, Bruce Powel",Computer Science,N/A,N/A
15840,"Text book of hydraulics, fluid mechanics and hydra","khurmi, R S",Mechanical,N/A,N/A
15841,"Text book of hydraulics, fluid mechanics and hydra","khurmi, R S",Mechanical,N/A,N/A
15842,"Text book of hydraulics, fluid mechanics and hydra","khurmi, R S",Mechanical,N/A,N/A
15843,"Text book of hydraulics, fluid mechanics and hydra","khurmi, R S",Mechanical,N/A,N/A
15844,"Text book of hydraulics, fluid mechanics and hydra","khurmi, R S",Mechanical,N/A,N/A
15845,Project management and entrepreneurship,"Desai,Vasant",Mechanical,N/A,N/A
15846,Project management and entrepreneurship,"Desai,Vasant",Mechanical,N/A,N/A
15847,Project management and entrepreneurship,"Desai,Vasant",Mechanical,N/A,N/A
15848,A.T.B. of Power Plant Engineering,"Rajput,R.K",Mechanical,N/A,N/A
15849,A.T.B. of Power Plant Engineering,"Rajput,R.K",Mechanical,N/A,N/A
1585,"Objects, components and frameworks with UML: the c","D'Souza, D.F. & Wills, A.C.",Computer Science,N/A,N/A
15850,A.T.B. of Power Plant Engineering,"Rajput,R.K",Mechanical,N/A,N/A
15851,A.T.B. of Power Plant Engineering,"Rajput,R.K",Mechanical,N/A,N/A
15852,A.T.B. of Power Plant Engineering,"Rajput,R.K",Mechanical,N/A,N/A
15853,Non-Conventional Energy Sources,"Rai,G.D",Mechanical,N/A,N/A
15854,Non-Conventional Energy Sources,"Rai,G.D",Mechanical,N/A,N/A
15855,Non-Conventional Energy Sources,"Rai,G.D",Mechanical,N/A,N/A
15856,Non-Conventional Energy Sources,"Rai,G.D",Mechanical,N/A,N/A
15857,Non-Conventional Energy Sources,"Rai,G.D",Mechanical,N/A,N/A
15858,Turbo Machines,"Arasu,Valan.A",Mechanical,N/A,N/A
15859,Turbo Machines,"Arasu,Valan.A",Mechanical,N/A,N/A
1586,Running MS-Dos,"Wolvertom, Van",Computer Science,N/A,N/A
15860,Turbo Machines,"Arasu,Valan.A",Mechanical,N/A,N/A
15861,Turbo Machines,"Arasu,Valan.A",Mechanical,N/A,N/A
15862,Turbo Machines,"Arasu,Valan.A",Mechanical,N/A,N/A
15863,Finite Element Method in Engineering,"Rao,Singiresu.s",Mechanical,N/A,N/A
15864,Finite Element Method in Engineering,"Rao,Singiresu.s",Mechanical,N/A,N/A
15865,Finite Element Method in Engineering,"Rao,Singiresu.s",Mechanical,N/A,N/A
15866,Engineering Thermodynamics : through Examples,"Rao,Y.V.C",Mechanical,N/A,N/A
15867,Engineering Thermodynamics : through Examples,"Rao,Y.V.C",Mechanical,N/A,N/A
15868,Engineering Thermodynamics : through Examples,"Rao,Y.V.C",Mechanical,N/A,N/A
15869,Engineering Thermodynamics : through Examples,"Rao,Y.V.C",Mechanical,N/A,N/A
1587,Using MS-Dos 6.22,"Wyatt, A.M. & others",Computer Science,N/A,N/A
15870,Engineering Thermodynamics : through Examples,"Rao,Y.V.C",Mechanical,N/A,N/A
15871,A First Course in fluid Mechanics,"Narasimhan,S",Mechanical,N/A,N/A
15872,A First Course in fluid Mechanics,"Narasimhan,S",Mechanical,N/A,N/A
15873,A First Course in fluid Mechanics,"Narasimhan,S",Mechanical,N/A,N/A
15874,A First Course in fluid Mechanics,"Narasimhan,S",Mechanical,N/A,N/A
15875,A First Course in fluid Mechanics,"Narasimhan,S",Mechanical,N/A,N/A
15876,Fluid mechanics and fluid power engineering (SI Un,"Kumar, D S",Mechanical,N/A,N/A
15877,Fluid mechanics and fluid power engineering (SI Un,"Kumar, D S",Mechanical,N/A,N/A
15878,Fluid mechanics and fluid power engineering (SI Un,"Kumar, D S",Mechanical,N/A,N/A
15879,Fluid mechanics and fluid power engineering (SI Un,"Kumar, D S",Mechanical,N/A,N/A
1588,Running microsoft windows 95,"Stinson, Craig",Computer Science,N/A,N/A
15880,Fluid mechanics and fluid power engineering (SI Un,"Kumar, D S",Mechanical,N/A,N/A
15881,Theory of Machines,"Bansal,R.K-Dr. & Brar,J.S.Dr.",Mechanical,N/A,N/A
15882,Theory of Machines,"Bansal,R.K-Dr. & Brar,J.S.Dr.",Mechanical,N/A,N/A
15883,Theory of Machines,"Bansal,R.K-Dr. & Brar,J.S.Dr.",Mechanical,N/A,N/A
15884,Theory of Machines,"Bansal,R.K-Dr. & Brar,J.S.Dr.",Mechanical,N/A,N/A
15885,Theory of Machines,"Bansal,R.K-Dr. & Brar,J.S.Dr.",Mechanical,N/A,N/A
15886,Theory of Machines and Mechanisms,"Ballaney,P.L",Mechanical,N/A,N/A
15887,Theory of Machines and Mechanisms,"Ballaney,P.L",Mechanical,N/A,N/A
15888,Theory of Machines and Mechanisms,"Ballaney,P.L",Mechanical,N/A,N/A
15889,Theory of Machines and Mechanisms,"Ballaney,P.L",Mechanical,N/A,N/A
1589,Step-by-step XML,"Young, Michael J",Computer Science,N/A,N/A
15890,Theory of Machines and Mechanisms,"Ballaney,P.L",Mechanical,N/A,N/A
15891,Production Technology,H M T,Mechanical,N/A,N/A
15892,Production Technology,H M T,Mechanical,N/A,N/A
15893,Production Technology,H M T,Mechanical,N/A,N/A
15894,Manufacturing Process-II,"Radhakrishna,K.Dr",Mechanical,N/A,N/A
15895,Manufacturing Process-II,"Radhakrishna,K.Dr",Mechanical,N/A,N/A
15896,Manufacturing Process-II,"Radhakrishna,K.Dr",Mechanical,N/A,N/A
15897,Manufacturing Process-II,"Radhakrishna,K.Dr",Mechanical,N/A,N/A
15898,Manufacturing Process-II,"Preveen, Kestoor",Mechanical,N/A,N/A
15899,Manufacturing Technology,"Rao,P.N",Mechanical,N/A,N/A
159,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1590,Javascript: the definitive guide,"Flanagan, David",Computer Science,N/A,N/A
15900,Manufacturing Technology,"Rao,P.N",Mechanical,N/A,N/A
15901,Manufacturing Technology,"Rao,P.N",Mechanical,N/A,N/A
15902,Manufacturing Technology,"Rao,P.N",Mechanical,N/A,N/A
15903,Manufacturing Technology,"Rao,P.N",Mechanical,N/A,N/A
15904,Production Technology,"Jain,R.K",Mechanical,N/A,N/A
15905,Production Technology,"Jain,R.K",Mechanical,N/A,N/A
15906,Production Technology,"Jain,R.K",Mechanical,N/A,N/A
15907,Production Technology,"Jain,R.K",Mechanical,N/A,N/A
15908,Production Technology,"Jain,R.K",Mechanical,N/A,N/A
15909,A.T.B of manufacturing Technology : Manufacturing ,"Rajput,R.K",Mechanical,N/A,N/A
1591,Beginning Javascript,"Wilton,Paul",Computer Science,N/A,N/A
15910,A.T.B of manufacturing Technology : Manufacturing ,"Rajput,R.K",Mechanical,N/A,N/A
15911,A.T.B of manufacturing Technology : Manufacturing ,"Rajput,R.K",Mechanical,N/A,N/A
15912,A.T.B of manufacturing Technology : Manufacturing ,"Rajput,R.K",Mechanical,N/A,N/A
15913,A.T.B of manufacturing Technology : Manufacturing ,"Rajput,R.K",Mechanical,N/A,N/A
15914,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15915,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15916,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15917,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15918,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15919,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
1592,Learning the Unix Operating Systems,"Peek  Jerry, Todino  G and Str",Computer Science,N/A,N/A
15920,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15921,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15922,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15923,Engineering Mathematics - III,Chandrashekar K S,Mathematics,N/A,N/A
15924,Engineering Mathematics - III,Chandrasekharaiah D S,Mathematics,N/A,N/A
15925,Engineering Mathematics - III,Chandrasekharaiah D S,Mathematics,N/A,N/A
15926,Engineering Mathematics - III,Chandrasekharaiah D S,Mathematics,N/A,N/A
15927,Engineering Mathematics - III,Chandrasekharaiah D S,Mathematics,N/A,N/A
15928,Engineering Mathematics - III,Chandrasekharaiah D S,Mathematics,N/A,N/A
15929,Discrete Mathematical Structures,Chandrasekharaiah D S,Mathematics,N/A,N/A
1593,"Mastring microsoft office 97, internet ed","Mosely,L.E & Boodey, D.M",Computer Science,N/A,N/A
15930,Discrete Mathematical Structures,Chandrasekharaiah D S,Mathematics,N/A,N/A
15931,Discrete Mathematical Structures,Chandrasekharaiah D S,Mathematics,N/A,N/A
15932,Discrete Mathematical Structures,Chandrasekharaiah D S,Mathematics,N/A,N/A
15933,Discrete Mathematical Structures,Chandrasekharaiah D S,Mathematics,N/A,N/A
15934,AD HOC Wireless Networks : Architectures and Proto,"Murthy, Shivaram C & Manoj, B ",Telecommunication,N/A,N/A
15935,AD HOC Wireless Networks : Architectures and Proto,"Murthy, Shivaram C & Manoj, B ",Telecommunication,N/A,N/A
15936,Mobile Ad Hoc Networks,"Aggelov,George",Telecommunication,N/A,N/A
15937,Mobile Ad Hoc Networks,"Aggelov,George",Telecommunication,N/A,N/A
15938,Introduction to Semiconductor devices  for Computi,"Brennan, Kevin F",Telecommunication,N/A,N/A
15939,Introduction to Semiconductor devices  for Computi,"Brennan, Kevin F",Telecommunication,N/A,N/A
