Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
1641,Microelectronics,"Millman, J & Grabel, A",Telecommunication,N/A,N/A
1642,Microelectronics,"Millman, J & Grabel, A",Telecommunication,N/A,N/A
1643,Microelectronics,"Millman, J & Grabel, A",Telecommunication,N/A,N/A
1644,Microelectronics,"Millman, J & Grabel, A",Telecommunication,N/A,N/A
1645,Microelectronics,"Millman, J & Grabel, A",Telecommunication,N/A,N/A
1646,Operational amplifiers and linear integrated circu,"Coughlin, R F and Driscoll, F ",Electronics,N/A,N/A
1647,Operational amplifiers and linear integrated circu,"Coughlin, R F and Driscoll, F ",Electronics,N/A,N/A
1648,Operational amplifiers and linear integrated circu,"Coughlin, R F and Driscoll, F ",Electronics,N/A,N/A
1649,Operational amplifiers and linear integrated circu,"Coughlin, R F and Driscoll, F ",Electronics,N/A,N/A
165,Higher Engineering Mathematics,Grewal B S,Mathematics,N/A,N/A
1650,Operational amplifiers and linear integrated circu,"Coughlin, R F and Driscoll, F ",Electronics,N/A,N/A
